sentPcktSize1,sentPcktSize2,sentPcktSize3,sentPcktSize4,sentPcktSize5,sentPcktSize6,sentPcktSize7,sentPcktSize8,sentPcktSize9,sentPcktSize10,rcvdPcktSize1,rcvdPcktSize2,rcvdPcktSize3,rcvdPcktSize4,rcvdPcktSize5,rcvdPcktSize6,rcvdPcktSize7,rcvdPcktSize8,rcvdPcktSize9,rcvdPcktSize10,label,sentInterPcktDelay1,sentInterPcktDelay2,sentInterPcktDelay3,sentInterPcktDelay4,sentInterPcktDelay5,sentInterPcktDelay6,sentInterPcktDelay7,sentInterPcktDelay8,sentInterPcktDelay9,rcvdInterPcktDelay1,rcvdInterPcktDelay2,rcvdInterPcktDelay3,rcvdInterPcktDelay4,rcvdInterPcktDelay5,rcvdInterPcktDelay6,rcvdInterPcktDelay7,rcvdInterPcktDelay8,rcvdInterPcktDelay9
44,40,185,40,40,40,40,166,40,40,44,40,1492,1492,1492,865,91,1158,40,0,smart-bulb,0.015000104904174803,0.19099998474121094,0.01100015640258789,0.003999948501586914,0.0009999275207519533,0.007999897003173828,0.3630003929138184,0.0009999275207519533,0.0019998550415039067,0.2070000171661377,0.002000093460083008,0.0009996891021728516,0.008000373840332031,0.003999948501586914,0.37399983406066895,0.15200018882751465,0.026000022888183597,600.0
60,40,475,40,40,40,91,202,40,40,52,40,126,46,85,40,40,40,40,40,motion-sensor,0.014999866485595703,0.002000093460083008,0.01399993896484375,0.0,0.0010001659393310547,0.005000114440917969,0.05299973487854004,5.011000156402588,5.013000011444092,0.016000032424926758,0.0,0.0,0.0,0.059999942779541016,0.012999773025512695,4.999000072479248,5.01200008392334,5.011999845504762
158,52,158,52,158,52,0,0,0,0,52,121,121,121,0,0,0,0,0,0,smart-plug,0.021000146865844727,235.8510000705719,0.02599978446960449,236.04700016975403,0.026000022888183597,600.0,600.0,600.0,600.0,0.0009999275207519533,235.871000289917,236.0739998817444,600.0,600.0,600.0,600.0,600.0,600.0
52,52,52,52,52,52,52,52,52,52,158,1460,1460,1460,1460,118,670,1460,1460,1460,nest-security-camera,0.0,0.07899999618530272,0.017999887466430664,0.002000093460083008,0.0,0.10899996757507324,0.002000093460083008,0.015999794006347656,0.02700018882751465,0.018000125885009766,0.0,0.0010001659393310547,0.0009996891021728516,0.0,0.10900020599365234,0.0009996891021728516,0.0010001659393310547,0.0
106,40,106,40,106,40,106,40,106,40,100,100,100,100,100,100,100,100,100,100,smart-bulb,0.10599970817565918,54.099000215530396,0.03399991989135742,54.17499995231629,0.07500004768371582,54.10600018501282,0.11699986457824707,54.08699989318848,0.048000097274780266,54.206000089645386,54.20799994468689,54.182000160217285,54.20299983024597,54.18700003623962,54.165000200271606,54.157999753952026,54.18299984931946,54.14900016784668
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,motion-sensor,1.5369999408721924,5.014999866485597,5.012000322341919,5.013999938964844,5.013999938964844,5.013000011444092,5.013000011444092,5.023000240325928,5.013999938964844,1.5230002403259275,5.016000032424927,5.011999845504762,5.01200008392334,5.016000032424927,5.011999845504762,5.01200008392334,5.016000032424927,5.020000219345093
52,52,52,52,52,52,52,52,52,52,238,834,414,382,254,398,254,350,398,904,nest-security-camera,0.04699993133544922,0.04200005531311035,0.019999980926513672,0.026000022888183597,0.0710000991821289,0.021999835968017575,0.026000022888183597,0.015000104904174803,0.026000022888183597,0.043000221252441406,0.020999670028686523,0.02500009536743164,0.0710000991821289,0.02300024032592773,0.02499985694885254,0.015000104904174803,0.02599978446960449,0.04499983787536621
158,52,158,52,158,52,0,0,0,0,121,52,121,52,121,0,0,0,0,0,smart-plug,0.020999908447265625,235.8550000190735,0.2950000762939453,235.7849998474121,0.026000261306762692,600.0,600.0,600.0,600.0,235.9119999408722,0.23600006103515625,235.8069999217987,0.0010001659393310547,600.0,600.0,600.0,600.0,600.0
106,40,106,40,106,40,106,40,106,40,100,100,100,100,100,100,100,100,100,100,smart-bulb,0.060000181198120124,54.13800001144409,0.10500001907348633,54.063999891281135,0.06400012969970703,53.65399980545044,0.07200026512145996,54.11299967765808,0.12600016593933105,54.19800019264221,54.16899991035461,53.7189998626709,54.18400001525879,54.182000160217285,54.18700003623962,54.20899987220764,54.15699982643128,55.081000089645386
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,motion-sensor,3.09000015258789,5.014999866485597,5.027000188827515,5.011999845504762,5.014999866485597,5.0340003967285165,5.013999938964844,5.013999938964844,5.01200008392334,3.0719997882843018,5.016000032424927,5.016000032424927,5.0239999294281015,5.013000249862671,5.014999866485597,5.035999774932861,5.016000032424927,5.01200008392334
